,AGE,ALGOTYPE,DEMO,OVERALL.RESPONSE,KNOWERLEV,GENDER,ID,PASS_SORT,PASS_DOUBLE,PASS_HITCH,PASS_SORT_1,PASS_DOUBLE_1,PASS_HITCH_1,OVERALL.RESPONSE.NO,RESPONSE.NO,ACTION.NO,BUCKET,RESPONSE,KL_AGE
0,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,left,R,5.0_4.821
1,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,right,G,5.0_4.821
2,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,left,G,5.0_4.821
3,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,3,2,0,right,R,5.0_4.821
4,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,4,3,0,right,G,5.0_4.821
5,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,5,4,0,left,R,5.0_4.821
6,4.821000000000001,SORT,"R/, /G, R/, /G, R/, /G, R/, /G ","R/, /G, /RGxc, /G, R/, /G",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,6,5,0,right,G,5.0_4.821
7,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,left,G,5.0_4.821
8,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,right,R,5.0_4.821
9,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,right,R,5.0_4.821
10,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,3,2,0,left,G,5.0_4.821
11,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,4,3,0,right,R,5.0_4.821
12,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,5,3,1,right,R,5.0_4.821
13,4.821000000000001,DOUBLE,"G/, /RR, G/, /RR, G/, /RR, G/, /RR","G/, /RR, G/, /RR, G/, /RR, G/, /RR",5.0,FEMALE,4,1.0,1.0,1.0,1.0,1.0,1.0,6,4,0,left,G,5.0_4.821
